MacID,Date,HIGH,OFF,MID,LOW
F4CE36DE6F1034AA,"2024-05-07,13:49:45",935 mA,11 mA,1024 mA,1033 mA
F4CE36DE6F1034AA,"2024-05-07,13:51:52",961 mA,12 mA,977 mA,942 mA
F4CE36F578B91FB2,"2024-05-07,14:42:11",11 mA,11 mA,11 mA,10 mA
F4CE36F578B91FB2,"2024-05-07,14:42:54",135 mA,10 mA,26 mA,91 mA
F4CE36E286D7CF43,"2024-05-07,15:51:22",1059 mA,11 mA,913 mA,1078 mA
F4CE36166CDB654C,"2024-05-07,16:01:42",936 mA,10 mA,896 mA,975 mA
F4CE36EB4349C485,"2024-05-07,16:08:39",1000 mA,11 mA,861 mA,953 mA
F4CE3661906C757D,"2024-05-07,16:12:16",849 mA,12 mA,1009 mA,893 mA
F4CE36652119CEE1,"2024-05-07,16:16:10",927 mA,12 mA,928 mA,1023 mA
F4CE369DECD27386,"2024-05-07,16:22:26",1046 mA,11 mA,848 mA,1100 mA
F4CE36A0B532A8F1,"2024-05-07,16:27:09",964 mA,10 mA,905 mA,1001 mA
F4CE36D20D09C7CF,"2024-05-07,16:31:07",1059 mA,12 mA,998 mA,859 mA
F4CE36368C43540A,"2024-05-07,16:35:41",965 mA,10 mA,920 mA,940 mA
F4CE361C8E33AC96,"2024-05-07,16:42:42",1070 mA,11 mA,967 mA,1089 mA
F4CE362E46467575,"2024-05-07,16:45:32",840 mA,11 mA,964 mA,1015 mA
F4CE364E8A572CCF,"2024-05-07,16:47:30",933 mA,12 mA,1073 mA,1066 mA
F4CE365551BDA9AD,"2024-05-07,16:49:32",928 mA,10 mA,895 mA,839 mA
F4CE36F04A1A58D0,"2024-05-08,09:51:45",11 mA,879 mA,1023 mA,952 mA
F4CE36F04A1A58D0,"2024-05-08,09:54:40",1089 mA,11 mA,906 mA,1090 mA
F4CE365551BDA9AD,"2024-05-13,11:01:32",115 mA,11 mA,28 mA,23 mA
F4CE361C8E33AC96,"2024-05-13,11:07:22",1001 mA,1001 mA,14 mA,994 mA
F4CE361C8E33AC96,"2024-05-13,11:09:18",1029 mA,1029 mA,12 mA,883 mA
F4CE361C8E33AC96,"2024-05-13,11:10:11",988 mA,11 mA,866 mA,994 mA
